bl,Smite 2 Username,Vetted Division,Smite 2 Tracker.gg Link,Discord Username,What was your placement in BSL season 1?,What division do you think you should be placed in?,What is your main Role,What is your secondary Role (If you have one),Are you interested in being a captain?,Availability [Mondays],Availability [Tuesdays],Availability [Wednesdays],Availability [Thursdays],Availability [Fridays],Availability [Saturdays],Availability [Sundays],BSL is a Saturday League;  Do you acknowledge that default will be on Saturday and that you have to the best of your understanding the day available to play? 
12/6/2025 15:22:32,Ferendum,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198197920285/overview?gamemode=conquest-ranked&season=3,Ferendum,Didn't Play,Ishtar,Mid,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/6/2025 22:45:58,Hershey,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198073558295/overview?gamemode=conquest-ranked&season=3,hershey14,Gilgamesh,Gilgamesh,Mid,Mid,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/7/2025 11:00:48,hirath,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199066375467/overview?gamemode=conquest-ranked&season=3,hirath,Didn't Play,Tiamat,Mid,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/2/2025 15:08:03,hostilepuppy601,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198310992670/overview?gamemode=conquest-ranked&season=3,hostilepuppy,Didn't Play,Tiamat,Mid,Fill,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/4/2025 19:46:27,ItsPelley,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198303511527/overview?gamemode=conquest-ranked&season=3,ItsPelley,Didn't Play,Tiamat,Mid,Fill,No,Yes,No,Yes,No,Yes,Yes,Yes,available
12/1/2025 8:08:55,ItzStallone,Drafted Players,https://tracker.gg/smite2/profile/steam/76561198277420714/overview?gamemode=conquest-ranked&season=3,ItzStallone,Didn't Play,,Mid,ADC,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/1/2025 9:06:33,IyoSky,Drafted Players,https://tracker.gg/smite2/profile/xbl/Brotaco136/overview?gamemode=conquest-ranked&season=3,Brotaco136,Enkidu,Enkidu,Mid,ADC,Yes,No,Yes,Yes,Yes,No,Yes,Yes,available
12/8/2025 14:36:46,Jdkraspy,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199565739502/overview?gamemode=conquest-ranked&season=3,dre1138,Didn't Play,Tiamat,Mid,Jungle,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,available
12/3/2025 12:07:56,JegErVIKING13,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199075084859/overview?gamemode=conquest-ranked&season=3,JegErVIKING13,Didn't Play,Enkidu,Mid,Solo,No,Yes,No,Yes,Yes,No,Yes,No,available
12/10/2025 15:22:17,Jerry Jenkins,Drafted Players,https://tracker.gg/smite2/profile/steam/76561199005719596/overview?gamemode=conquest-ranked&season=3,Jaxtellem.,Didn't Play,Gilgamesh,Mid,Jungle,No,No,No,No,No,No,Yes,Yes,available
